,follower_id,repos_count,followers_count,following_count,created_at,updated_at
0,defunkt,107,21537,210,2007-10-20T05:24:19Z,2022-08-17T23:07:39Z
1,jchris,179,623,39,2008-02-13T21:08:18Z,2022-10-27T12:27:57Z
2,kastner,130,194,45,2008-02-14T01:25:56Z,2022-08-25T12:53:12Z
3,hoverbird,48,404,178,2008-02-14T18:09:52Z,2022-07-12T01:34:38Z
4,therealadam,61,216,153,2008-02-18T21:46:00Z,2022-10-18T05:57:23Z
5,keeg,4,103,27,2008-02-26T16:22:51Z,2022-10-01T00:15:10Z
6,jathayde,28,51,46,2008-03-04T22:57:35Z,2022-09-18T16:40:06Z
7,thedavidprice,43,123,22,2008-03-12T21:27:11Z,2022-10-14T19:09:11Z
8,loe,125,168,108,2008-03-17T16:05:40Z,2022-10-03T17:10:54Z
9,tobie,215,370,102,2008-03-18T22:44:44Z,2022-10-16T14:54:56Z
10,jpinnix,64,32,24,2008-04-03T03:33:28Z,2022-09-09T13:13:59Z
11,clarkware,20,209,17,2008-04-04T00:24:38Z,2022-07-30T23:14:30Z
12,gangster,66,41,25,2008-04-04T01:45:55Z,2022-09-27T17:06:24Z
13,ctp,0,51,41,2008-04-10T21:05:56Z,2022-07-20T16:33:30Z
14,JonCrawford,18,30,21,2008-04-11T06:06:18Z,2022-10-21T21:57:49Z
15,horaceho,75,28,48,2008-04-11T15:40:51Z,2022-09-19T04:21:08Z
16,mattt,79,0,0,2008-04-17T03:18:54Z,2022-10-28T13:51:46Z
17,penso,24,104,211,2008-04-17T11:16:29Z,2022-10-16T09:14:39Z
18,lodestone,335,68,175,2008-04-24T18:30:22Z,2022-10-13T08:17:36Z
19,joshbuddy,215,483,367,2008-04-30T03:02:45Z,2022-09-29T13:12:09Z
20,cricketgeek,30,20,23,2008-05-06T12:15:07Z,2019-01-09T23:30:21Z
21,dsparling,35,17,43,2008-05-21T01:37:11Z,2021-04-07T18:42:20Z
22,pillowfactory,11,18,14,2008-06-02T19:34:54Z,2020-01-25T23:32:00Z
23,erichurst,42,27,13,2008-07-21T18:44:21Z,2022-10-20T17:14:38Z
24,chrismessina,92,536,279,2008-08-30T19:32:01Z,2022-10-10T16:13:36Z
25,fujy,16,37,114,2008-09-05T07:01:19Z,2021-11-21T03:28:58Z
26,nickdoherty,1,32,139,2008-09-15T22:41:40Z,2022-10-11T04:29:19Z
27,mcalliph,5,97,11,2008-09-29T21:07:37Z,2022-06-27T14:08:47Z
28,objectiveous,115,26,42,2008-10-27T13:20:21Z,2022-03-11T13:31:59Z
29,laberge,5,24,69,2008-11-20T00:58:45Z,2022-09-04T12:30:37Z
